Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة ق,50,37,إِنَّ فِي ذَٰلِكَ لَذِكۡرَىٰ لِمَن كَانَ لَهُۥ قَلۡبٌ أَوۡ أَلۡقَى ٱلسَّمۡعَ وَهُوَ شَهِيدٞ,ان في ذٰلك لذكرىٰ لمن كان له قلب او القى السمع وهو شهيد,fear
سورة التغابن,64,5,أَلَمۡ يَأۡتِكُمۡ نَبَؤُاْ ٱلَّذِينَ كَفَرُواْ مِن قَبۡلُ فَذَاقُواْ وَبَالَ أَمۡرِهِمۡ وَلَهُمۡ عَذَابٌ أَلِيمٞ,الم ياتكم نبؤا الذين كفروا من قبل فذاقوا وبال امرهم ولهم عذاب اليم,fear
سورة الصافات,37,101,فَبَشَّرۡنَٰهُ بِغُلَٰمٍ حَلِيمٖ,فبشرنٰه بغلٰم حليم,joy
سورة غافر,40,41,۞وَيَٰقَوۡمِ مَا لِيٓ أَدۡعُوكُمۡ إِلَى ٱلنَّجَوٰةِ وَتَدۡعُونَنِيٓ إِلَى ٱلنَّارِ,ويٰقوم ما لي ادعوكم الى النجوٰة وتدعونني الى النار,sadness
سورة الشعراء,26,187,فَأَسۡقِطۡ عَلَيۡنَا كِسَفٗا مِّنَ ٱلسَّمَآءِ إِن كُنتَ مِنَ ٱلصَّٰدِقِينَ,فاسقط علينا كسفا من السماء ان كنت من الصٰدقين,anger
سورة ق,50,28,قَالَ لَا تَخۡتَصِمُواْ لَدَيَّ وَقَدۡ قَدَّمۡتُ إِلَيۡكُم بِٱلۡوَعِيدِ,قال لا تختصموا لدي وقد قدمت اليكم بالوعيد,anger
سورة الصافات,37,178,وَتَوَلَّ عَنۡهُمۡ حَتَّىٰ حِينٖ,وتول عنهم حتىٰ حين,sadness
سورة المؤمنون,23,66,قَدۡ كَانَتۡ ءَايَٰتِي تُتۡلَىٰ عَلَيۡكُمۡ فَكُنتُمۡ عَلَىٰٓ أَعۡقَٰبِكُمۡ تَنكِصُونَ,قد كانت ءايٰتي تتلىٰ عليكم فكنتم علىٰ اعقٰبكم تنكصون,sadness
سورة الروم,30,12,وَيَوۡمَ تَقُومُ ٱلسَّاعَةُ يُبۡلِسُ ٱلۡمُجۡرِمُونَ,ويوم تقوم الساعة يبلس المجرمون,fear
سورة الانعام,6,120,وَذَرُواْ ظَٰهِرَ ٱلۡإِثۡمِ وَبَاطِنَهُۥٓۚ إِنَّ ٱلَّذِينَ يَكۡسِبُونَ ٱلۡإِثۡمَ سَيُجۡزَوۡنَ بِمَا كَانُواْ يَقۡتَرِفُونَ,وذروا ظٰهر الاثم وباطنه ان الذين يكسبون الاثم سيجزون بما كانوا يقترفون,fear
سورة مريم,19,74,وَكَمۡ أَهۡلَكۡنَا قَبۡلَهُم مِّن قَرۡنٍ هُمۡ أَحۡسَنُ أَثَٰثٗا وَرِءۡيٗا,وكم اهلكنا قبلهم من قرن هم احسن اثٰثا ورءيا,anger
سورة الاسراء,17,94,وَمَا مَنَعَ ٱلنَّاسَ أَن يُؤۡمِنُوٓاْ إِذۡ جَآءَهُمُ ٱلۡهُدَىٰٓ إِلَّآ أَن قَالُوٓاْ أَبَعَثَ ٱللَّهُ بَشَرٗا رَّسُولٗا,وما منع الناس ان يؤمنوا اذ جاءهم الهدىٰ الا ان قالوا ابعث الله بشرا رسولا,anger
سورة المعارج,70,20,إِذَا مَسَّهُ ٱلشَّرُّ جَزُوعٗا,اذا مسه الشر جزوعا,fear
سورة المرسلات,77,50,فَبِأَيِّ حَدِيثِۭ بَعۡدَهُۥ يُؤۡمِنُونَ,فباي حديث بعده يؤمنون,anger
سورة يس,36,57,لَهُمۡ فِيهَا فَٰكِهَةٞ وَلَهُم مَّا يَدَّعُونَ,لهم فيها فٰكهة ولهم ما يدعون,joy
